Position Zeitstempel
401.519 1990.07
408.016 1990.18
414.512 1990.29
420.994 1990.4
427.491 1990.51
433.988 1990.62
440.484 1990.73
446.966 1990.84
453.463 1990.95
459.96 1991.06
466.442 1991.17
472.938 1991.27
479.435 1991.38
485.917 1991.49
492.414 1991.6
498.91 1991.71
505.407 1991.82
511.889 1991.93
518.386 1992.04
524.883 1992.15
531.364 1992.26
537.861 1992.37
544.358 1992.48
550.84 1992.59
557.336 1992.69
563.833 1992.8
570.345 1992.91
576.812 1993.02
583.309 1993.13
589.805 1993.24
596.287 1993.35
602.784 1993.46
609.281 1993.57
615.762 1993.68
622.259 1993.79
628.756 1993.9
635.253 1994
641.735 1994.11
648.231 1994.22
654.728 1994.33
661.21 1994.44
667.707 1994.55
674.203 1994.66
680.7 1994.77
687.197 1994.88
693.679 1994.99
700.175 1995.1
706.657 1995.21
713.154 1995.32
719.651 1995.42
726.133 1995.53
732.629 1995.64
739.126 1995.75
745.623 1995.86
752.105 1995.97
758.601 1996.08
765.098 1996.19
771.58 1996.3
778.077 1996.41
784.573 1996.52
791.07 1996.63
797.552 1996.73
804.049 1996.84
810.546 1996.95
817.027 1997.06
823.524 1997.17
830.021 1997.28
836.503 1997.39
842.999 1997.5
849.496 1997.61
855.978 1997.72
862.475 1997.83
868.972 1997.94
875.468 1998.05
881.95 1998.15
888.447 1998.26
894.944 1998.37
901.44 1998.48
907.922 1998.59
914.419 1998.7
920.901 1998.81
927.398 1998.92
933.894 1999.03
940.391 1999.14
946.888 1999.25
953.37 1999.36
959.866 1999.46
966.348 1999.57
972.86 1999.68
979.342 1999.79
985.824 1999.9
992.32 2000.01
998.817 2000.12
1005.3 2000.23
1011.8 2000.34
1018.29 2000.45
1024.79 2000.56
1031.27 2000.67
1037.77 2000.78
1044.26 2000.88
1050.76 2000.99
1057.24 2001.1
1063.74 2001.21
1070.24 2001.32
1076.72 2001.43
1083.22 2001.54
1089.71 2001.65
1096.21 2001.76
1102.69 2001.87
1109.2 2001.98
1115.68 2002.09
1122.17 2002.19
1128.66 2002.3
1135.06 2002.41
1137 2002.52
Position Zeitstempel
1329.3 5805.09
