X Y Z Distanz Orientierung Zeitstempel
531.132 758.535 0 926 55 5804.94
547.544 784.885 0 957 55.1 5804.94
526.769 757.921 0 923 55.2 5804.94
532.846 769.527 0 936 55.3 5804.94
530.366 768.809 0 934 55.4 5804.94
523.926 762.317 0 925 55.5 5804.94
518.64 757.454 0 918 55.6 5804.94
520.135 762.489 0 923 55.7 5804.94
518.241 762.568 0 922 55.8 5804.94
515.788 761.816 0 920 55.9 5804.94
510.543 756.911 0 913 56 5804.94
515.914 767.761 0 925 56.1 5804.94
513.461 766.999 0 923 56.2 5804.94
510.457 765.398 0 920 56.3 5804.94
504.693 759.624 0 912 56.4 5804.94
511.094 772.178 0 926 56.5 5804.94
508.644 771.399 0 924 56.6 5804.94
501.258 763.092 0 913 56.7 5804.94
499.378 763.129 0 912 56.8 5804.94
508.421 779.916 0 931 56.9 5804.94
505.97 779.125 0 929 57 5804.94
498.634 770.771 0 918 57.1 5804.94
499.455 775.002 0 922 57.2 5804.94
500.803 780.08 0 927 57.3 5804.94
496.208 775.899 0 921 57.4 5804.94
492.704 773.39 0 917 57.5 5804.94
496.711 782.692 0 927 57.6 5804.94
501.757 793.701 0 939 57.7 5804.94
490.779 779.344 0 921 57.8 5804.94
492.606 785.282 0 927 57.9 5804.94
490.705 785.293 0 926 58 5804.94
493.033 792.091 0 933 58.1 5804.94
484.272 781.051 0 919 58.2 5804.94
485.01 785.299 0 923 58.3 5804.94
490.975 798.068 0 937 58.4 5804.94
486.446 793.808 0 931 58.5 5804.94
483.497 792.095 0 928 58.6 5804.94
480.036 789.52 0 924 58.7 5804.94
490.054 809.175 0 946 58.8 5804.94
479.343 794.616 0 928 58.9 5804.94
479.5 798.023 0 931 59 5804.94
486.324 812.587 0 947 59.1 5804.94
483.368 810.858 0 944 59.2 5804.94
483.995 815.14 0 948 59.3 5804.94
475.954 804.794 0 935 59.4 5804.94
479.624 814.24 0 945 59.5 5804.94
478.202 815.075 0 945 59.6 5804.94
474.76 812.455 0 941 59.7 5804.94
466.299 801.183 0 927 59.8 5804.94
473.426 816.703 0 944 59.9 5804.94
472 817.528 0 944 60 5804.94
467.083 812.282 0 937 60.1 5804.94
459.701 802.683 0 925 60.2 5804.94
463.254 812.17 0 935 60.3 5804.94
464.799 818.195 0 941 60.4 5804.94
464.848 821.616 0 944 60.5 5804.94
457.522 811.971 0 932 60.6 5804.94
460.998 821.489 0 942 60.7 5804.94
460.052 823.166 0 943 60.8 5804.94
461.046 828.336 0 948 60.9 5804.94
450.388 812.522 0 929 61 5804.94
449.936 815.057 0 931 61.1 5804.94
456.221 829.862 0 947 61.2 5804.94
448.049 818.377 0 933 61.3 5804.94
445.662 817.402 0 931 61.4 5804.94
447.575 824.33 0 938 61.5 5804.94
448.514 829.509 0 943 61.6 5804.94
447.065 830.29 0 943 61.7 5804.94
442.78 825.781 0 937 61.8 5804.94
