X Y Z Distanz Orientierung Zeitstempel
185.929 543.053 0 574 71.1 5804.94
182.725 536.75 0 567 71.2 5804.94
181.788 537.068 0 567 71.3 5804.94
184.358 547.81 0 578 71.4 5804.94
181.498 542.441 0 572 71.5 5804.94
178.973 538.013 0 567 71.6 5804.94
178.034 538.324 0 567 71.7 5804.94
181.154 550.984 0 580 71.8 5804.94
174.289 533.239 0 561 71.9 5804.94
179.23 551.613 0 580 72 5804.94
174.579 540.506 0 568 72.1 5804.94
172.412 537.001 0 564 72.2 5804.94
172.387 540.159 0 567 72.3 5804.94
178.398 562.382 0 590 72.4 5804.94
172.906 548.387 0 575 72.5 5804.94
172.846 551.551 0 578 72.6 5804.94
172.775 554.716 0 581 72.7 5804.94
174.468 563.614 0 590 72.8 5804.94
174.66 567.741 0 594 72.9 5804.94
167.529 547.963 0 573 73 5804.94
171.514 564.52 0 590 73.1 5804.94
167.349 554.288 0 579 73.2 5804.94
166.094 553.621 0 578 73.3 5804.94
167.413 561.577 0 586 73.4 5804.94
162.741 549.404 0 573 73.5 5804.94
165.734 563.117 0 587 73.6 5804.94
164.471 562.446 0 586 73.7 5804.94
160.699 553.129 0 576 73.8 5804.94
162.784 563.977 0 587 73.9 5804.94
159.043 554.648 0 577 74 5804.94
161.362 566.466 0 589 74.1 5804.94
161.462 570.595 0 593 74.2 5804.94
155.866 554.51 0 576 74.3 5804.94
160.814 575.971 0 598 74.4 5804.94
154.197 556.015 0 577 74.5 5804.94
154.554 561.104 0 582 74.6 5804.94
159.643 583.557 0 605 74.7 5804.94
154.167 567.43 0 588 74.8 5804.94
159.95 592.8 0 614 74.9 5804.94
154.256 575.692 0 596 75 5804.94
154.537 580.792 0 601 75.1 5804.94
153.267 580.094 0 600 75.2 5804.94
153.27 584.23 0 604 75.3 5804.94
154.519 593.206 0 613 75.4 5804.94
151.48 585.729 0 605 75.5 5804.94
151.452 589.867 0 609 75.6 5804.94
149.928 588.193 0 607 75.7 5804.94
150.619 595.239 0 614 75.8 5804.94
149.823 596.471 0 615 75.9 5804.94
147.572 591.88 0 610 76 5804.94
149.662 604.756 0 623 76.1 5804.94
141.212 574.911 0 592 76.2 5804.94
143.998 590.702 0 608 76.3 5804.94
147.669 610.392 0 628 76.4 5804.94
141.935 591.201 0 608 76.5 5804.94
142.293 597.284 0 614 76.6 5804.94
139.87 591.693 0 608 76.7 5804.94
137.467 586.095 0 602 76.8 5804.94
135.991 584.386 0 600 76.9 5804.94
137.67 596.314 0 612 77 5804.94
139.978 611.175 0 627 77.1 5804.94
134.701 592.891 0 608 77.2 5804.94
132.128 586.296 0 601 77.3 5804.94
128.486 574.815 0 589 77.4 5804.94
132.677 598.469 0 613 77.5 5804.94
132.921 604.56 0 619 77.6 5804.94
129.096 592.09 0 606 77.7 5804.94
126.795 586.45 0 600 77.8 5804.94
125.352 584.714 0 598 77.9 5804.94
127.034 597.648 0 611 78 5804.94
123.929 588.084 0 601 78.1 5804.94
123.72 592.215 0 605 78.2 5804.94
123.903 598.305 0 611 78.3 5804.94
122.658 597.541 0 610 78.4 5804.94
121.814 598.734 0 611 78.5 5804.94
121.362 601.887 0 614 78.6 5804.94
120.899 605.039 0 617 78.7 5804.94
117.318 592.497 0 604 78.8 5804.94
120.904 616.252 0 628 78.9 5804.94
117.92 606.646 0 618 79 5804.94
110.999 576.41 0 587 79.1 5804.94
117.675 616.876 0 628 79.2 5804.94
111.957 592.516 0 603 79.3 5804.94
114.786 613.352 0 624 79.4 5804.94
109.888 592.903 0 603 79.5 5804.94
111.561 607.847 0 618 79.6 5804.94
110.5 608.041 0 618 79.7 5804.94
109.261 607.249 0 617 79.8 5804.94
109.78 616.299 0 626 79.9 5804.94
106.967 606.642 0 616 80 5804.94
106.94 612.738 0 622 80.1 5804.94
105.53 610.953 0 620 80.2 5804.94
101.262 592.408 0 601 80.3 5804.94
103.897 614.276 0 623 80.4 5804.94
100.514 600.648 0 609 80.5 5804.94
98.9755 597.863 0 606 80.6 5804.94
101.002 616.785 0 625 80.7 5804.94
99.2862 613.012 0 621 80.8 5804.94
99.0069 618.121 0 626 80.9 5804.94
99.9616 631.133 0 639 81 5804.94
98.3958 628.342 0 636 81.1 5804.94
94.3923 609.737 0 617 81.2 5804.94
99.6809 651.417 0 659 81.3 5804.94
0 0 0 715 81.4 5804.94
0 0 0 0 81.5 5804.94
0 0 0 0 81.6 5804.94
0 0 0 0 81.7 5804.94
0 0 0 0 81.8 5804.94
0 0 0 0 81.9 5804.94
0 0 0 0 82 5804.94
0 0 0 0 82.1 5804.94
0 0 0 0 82.2 5804.94
0 0 0 0 82.3 5804.94
0 0 0 0 82.4 5804.94
0 0 0 0 82.5 5804.94
0 0 0 0 82.6 5804.94
0 0 0 0 82.7 5804.94
0 0 0 0 82.8 5804.94
0 0 0 0 82.9 5804.94
0 0 0 0 83 5804.94
0 0 0 0 83.1 5804.94
0 0 0 0 83.2 5804.94
0 0 0 0 83.3 5804.94
0 0 0 0 83.4 5804.94
