Position Zeitstempel
10.0053 22028.2
20.0105 22033.6
30.0158 22039
40.0211 22044.4
50.0263 22050
60.0316 22055.5
70.0369 22060.9
80.0421 22066.2
90.0474 22071.7
100.053 22077
110.058 22082.5
120.063 22087.9
130.068 22093.3
140.074 22098.6
150.079 22104.1
160.084 22109.5
170.09 22114.8
180.095 22120.2
190.1 22125.7
200.105 22131.1
210.111 22136.4
220.116 22141.8
230.121 22147.3
240.126 22152.6
250.132 22158.1
260.137 22163.5
270.142 22168.9
280.147 22174.3
290.153 22179.8
300.158 22185.2
310.163 22190.8
320.169 22196.2
330.174 22201.8
340.179 22207.3
350.184 22212.7
