X Y Z Distanz Orientierung Zeitstempel
3534.34 120.013 0 3536.38 1.9448 0
3534.68 120.908 0 3536.75 1.9591 0
3533.03 121.734 0 3535.13 1.9734 0
3537.5 122.772 0 3539.63 1.9877 0
3536.34 123.615 0 3538.5 2.002 0
3537.68 124.546 0 3539.88 2.0163 0
3538.28 125.451 0 3540.5 2.0306 0
3534.12 126.187 0 3536.38 2.0449 0
3533.22 127.038 0 3535.5 2.0592 0
3535.56 128.006 0 3537.88 2.0735 0
3537.9 128.975 0 3540.25 2.0878 0
3536.62 129.812 0 3539 2.1021 0
3528.84 130.408 0 3531.25 2.1164 0
3534.3 131.493 0 3536.75 2.1307 0
3537.02 132.478 0 3539.5 2.145 0
3535.99 133.324 0 3538.5 2.1593 0
3539.95 134.358 0 3542.5 2.1736 0
3542.54 135.341 0 3545.13 2.1879 0
3537.39 136.029 0 3540 2.2022 0
3541.1 137.057 0 3543.75 2.2165 0
3534.32 137.678 0 3537 2.2308 0
3538.41 138.721 0 3541.13 2.2451 0
3531.75 139.343 0 3534.5 2.2594 0
3535.21 140.364 0 3538 2.2737 0
3543.05 141.56 0 3545.88 2.288 0
3541.64 142.389 0 3544.5 2.3023 0
3543.23 143.339 0 3546.13 2.3166 0
3533.45 143.827 0 3536.38 2.3309 0
3533.91 144.729 0 3536.88 2.3452 0
3536.37 145.714 0 3539.38 2.3595 0
3539.09 146.71 0 3542.13 2.3738 0
3534.68 147.411 0 3537.75 2.3881 0
3537.14 148.398 0 3540.25 2.4024 0
3534.48 149.171 0 3537.63 2.4167 0
3538.19 150.212 0 3541.38 2.431 0
3533.03 150.876 0 3536.25 2.4453 0
3527.25 151.511 0 3530.5 2.4596 0
3536.95 152.812 0 3540.25 2.4739 0
3534.66 153.597 0 3538 2.4882 0
3545.62 154.96 0 3549 2.5025 0
3540.83 155.636 0 3544.25 2.5168 0
3541.92 156.57 0 3545.38 2.5311 0
3539 157.326 0 3542.5 2.5454 0
3538.72 158.198 0 3542.25 2.5597 0
3541.55 159.21 0 3545.13 2.574 0
3540.51 160.049 0 3544.13 2.5883 0
3538.22 160.831 0 3541.88 2.6026 0
3539.93 161.794 0 3543.63 2.6169 0
3536.02 162.499 0 3539.75 2.6312 0
3541.47 163.636 0 3545.25 2.6455 0
3538.68 164.392 0 3542.5 2.6598 0
3542.26 165.444 0 3546.13 2.6741 0
3533.61 165.924 0 3537.5 2.6884 0
3538.31 167.03 0 3542.25 2.7027 0
