X;Y;Z;ROT;GRüN;BLAU;STEIGUNG;;;;
875,829;-315,729;0;80;114;137;0,97004;;;;
862,542;-311,303;0;80;114;137;0,97004;;;;
866,658;-313,155;0;80;114;137;0,97004;;;;
867,482;-313,818;0;80;114;137;0,97004;;;;
867,834;-314,313;0;80;114;137;0,97004;;;;
870,067;-315,489;0;80;114;137;0,97004;;;;
856,32;-310,866;0;80;114;137;0,97004;;;;
856,203;-311,186;0;80;114;137;0,97004;;;;
846,69;-308,086;0;80;114;137;0,97004;;;;
865,837;-315,419;0;80;114;137;0,97004;;;;
864,779;-315,4;0;80;114;137;0,97004;;;;
854,798;-312,122;0;80;114;137;0,97004;;;;
864,543;-316,046;0;80;114;137;0,97004;;;;
857,382;-313,791;0;80;114;137;0,97004;;;;
847,875;-310,671;0;80;114;137;0,97004;;;;
860,903;-315,809;0;80;114;137;0,97004;;;;
848,582;-311,649;0;80;114;137;0,97004;;;;y = 0,0228x - 333,07
851,281;-313,001;0;80;114;137;0,97004;;;;y = -2,0146x + 1329
847,879;-312,11;0;80;114;137;0,97004;;;;= 0,0557x - 509,57
858,084;-316,231;0;80;114;137;0,97004;;;;= -3,0852x + 1648,9
848,115;-312,916;0;80;114;137;0,97004;;;;
860,662;-317,911;0;80;114;137;0,97004;;;;
861,95;-318,753;0;80;114;137;0,97004;;;;
855,735;-316,818;0;80;114;137;0,97004;;;;
837,801;-310,534;0;80;114;137;0,97004;;;;
850,342;-315,543;0;80;114;137;0,97004;;;;
858,661;-318,995;0;80;114;137;0,97004;;;;
844,482;-314,087;0;80;114;137;0,97004;;;;
851,862;-317,194;0;80;114;137;0,97004;;;;
840,968;-313,495;0;80;114;137;0,97004;;;;
846,94;-316,082;0;80;114;137;0,97004;;;;
854,316;-319,198;0;80;114;137;0,97004;;;;
841,553;-314,788;0;80;114;137;0,97004;;;;
845,649;-316,68;0;80;114;137;0,97004;;;;
836,636;-313,661;0;80;114;137;0,97004;;;;
844,476;-316,96;0;80;114;137;0,97004;;;;
842,954;-316,748;0;80;114;137;0,97004;;;;
849,387;-319,528;0;80;114;137;0,97004;;;;
856,286;-322,488;0;80;114;137;0,97004;;;;
