X;Y;Z;ROT;GRüN;BLAU;STEIGUNG;;;;;;;
708,646;-481,832;0;6;51;63;2,3079;;;;;;;
714,889;-489,207;0;249;33;4;0,741268;;;;;;;
712,549;-490,738;0;249;33;4;0,741268;;;;;;;
714,88;-495,5;0;249;33;4;0,741268;;;;;;;
712,013;-496,668;0;249;33;4;0,741268;;;;;;;
712,674;-500,302;0;121;144;53;-4,03078;;;;;;;
713,167;-503,835;0;121;144;53;-4,03078;;;;;;;
712,218;-506,362;0;121;144;53;-4,03078;;;;;;;
713,193;-510,27;0;121;144;53;-4,03078;;;;;;;
714,708;-514,59;0;121;144;53;-4,03078;;;;;;;
714,736;-517,86;0;121;
