X Y Z RGB-R RGB-G RGB-B
992.829 -308.189 0 150 219 2
985.404 -309.115 0 150 219 2
972.322 -308.205 0 150 219 2
967.349 -309.813 0 150 219 2
953.753 -308.604 0 150 219 2
945.282 -308.986 0 150 219 2
940.022 -310.378 0 150 219 2
932.984 -311.149 0 150 219 2
920.085 -309.906 0 150 219 2
912.646 -310.44 0 150 219 2
905.508 -311.033 0 150 219 2
896.603 -310.973 0 150 219 2
890.774 -311.936 0 150 219 2
876.697 -309.95 0 150 219 2
873.236 -311.665 0 150 219 2
868.832 -313.023 0 150 219 2
858.906 -312.35 0 150 219 2
847.584 -311.103 0 150 219 2
852.042 -315.631 0 150 219 2
851.33 -318.264 0 150 219 2
848.094 -319.946 0 150 219 2
848.887 -323.145 0 150 219 2
851.301 -326.98 0 150 219 2
848.164 -328.687 0 150 219 2
849.216 -332.016 0 150 219 2
851.766 -335.951 0 150 219 2
848.786 -337.874 0 150 219 2
853.224 -342.598 0 150 219 2
849.706 -344.137 0 150 219 2
849.831 -347.147 0 150 219 2
848.212 -349.447 0 150 219 2
851.551 -353.802 0 150 219 2
854.237 -357.915 0 18 252 192
851.954 -359.955 0 18 252 192
850.013 -362.132 0 18 252 192
852.544 -366.224 0 18 252 192
854.945 -370.285 0 18 252 192
851.773 -371.937 0 18 252 192
851.744 -374.959 0 18 252 192
852.391 -378.289 0 18 252 192
853.368 -381.778 0 16 30 236
848.577 -382.682 0 16 30 236
855.168 -388.733 0 16 30 236
854.116 -391.339 0 16 30 236
855.61 -395.121 0 16 30 236
855.502 -398.177 0 16 30 236
853.346 -400.28 0 16 30 236
854.068 -403.736 0 16 30 236
853.704 -406.689 0 16 30 236
851.302 -408.67 0 16 30 236
853.059 -412.655 0 16 30 236
854.462 -416.489 0 16 30 236
854.841 -419.839 0 16 30 236
857.392 -424.277 0 16 30 236
851.59 -424.578 0 16 30 236
854.729 -429.337 0 16 30 236
855.283 -432.82 0 16 30 236
856.269 -436.537 0 16 30 236
855.572 -439.408 0 16 30 236
855.865 -442.795 0 16 30 236
855.979 -446.102 0 16 30 236
858.848 -450.865 0 16 30 236
858.547 -453.985 0 16 30 236
858.952 -457.488 0 16 30 236
858.793 -460.703 0 16 30 236
858.347 -463.772 0 16 30 236
849.986 -462.54 0 16 30 236
839.885 -460.302 0 16 30 236
834.489 -460.775 0 16 30 236
829.503 -461.262 0 16 30 236
826.158 -462.639 0 16 30 236
823.956 -464.645 0 16 30 236
813.488 -461.951 0 16 30 236
809.716 -463.014 0 16 30 236
802.859 -462.282 0 16 30 236
796.337 -461.7 0 16 30 236
790.096 -461.242 0 16 30 236
791.678 -465.343 0 16 30 236
781.356 -462.422 0 16 30 236
778.521 -463.891 0 16 30 236
772.468 -463.418 0 16 30 236
768.887 -464.399 0 16 30 236
763.17 -464.064 0 16 30 236
756.503 -463.112 0 16 30 236
753.786 -464.55 0 16 30 236
750.748 -465.779 0 16 30 236
745.271 -465.471 0 16 30 236
745.094 -468.461 0 16 30 236
737.881 -467.008 0 16 30 236
733.952 -467.599 0 16 30 236
730.237 -468.305 0 16 30 236
725.579 -468.384 0 16 30 236
715.896 -465.169 0 16 30 236
717.379 -469.188 0 16 30 236
714.721 -470.504 0 16 30 236
711.645 -471.533 0 16 30 236
707.477 -471.82 0 16 30 236
707.829 -475.116 0 16 30 236
708.27 -478.488 0 16 30 236
709.99 -482.746 0 16 30 236
711.588 -486.948 0 16 30 236
713.115 -491.128 0 16 30 236
708.87 -491.334 0 16 30 236
712.884 -497.276 0 16 30 236
710.986 -499.117 0 21 170 32
711.737 -502.825 0 21 170 32
711.811 -506.073 0 21 170 32
710.194 -508.124 0 21 170 32
709.585 -510.902 0 21 170 32
713.319 -516.833 0 21 170 32
710.372 -518.124 0 21 170 32
708.216 -519.801 0 21 170 32
712.391 -526.147 0 21 170 32
716.685 -532.636 0 21 170 32
710.986 -531.705 0 21 170 32
712.041 -535.819 0 21 170 32
709.24 -537.039 0 21 170 32
709.323 -540.443 0 21 170 32
712.318 -546.097 0 21 170 32
712.118 -549.33 0 21 170 32
715.806 -555.594 0 21 170 32
714.438 -557.961 0 21 170 32
714.733 -561.638 0 21 170 32
714.425 -564.857 0 21 170 32
713.614 -567.689 0 21 170 32
713.378 -570.991 0 21 170 32
716.196 -576.765 0 21 170 32
714.178 -578.667 0 21 170 32
718.453 -585.695 0 21 170 32
714.815 -586.293 0 21 170 32
718.025 -592.524 0 21 170 32
719.185 -597.102 0 21 170 32
717.493 -599.328 0 21 170 32
718.618 -603.922 0 21 170 32
717.574 -606.713 0 21 170 32
713.235 -606.708 0 21 170 32
718.541 -614.932 0 21 170 32
