X Y Zeitstempel
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
1710.45 2584.21 15015.5
0 0 15015.5
0 0 15015.5
1688.14 2579.74 15015.5
0 0 15015.5
1680.21 2587.3 15015.5
1677.87 2593.59 15015.5
1658.71 2573.81 15015.5
1661.78 2588.49 15015.5
1663.19 2600.65 15015.5
1450.71 2277.16 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
776.825 1761.3 15015.5
761.691 1735.18 15015.5
748.653 1713.6 15015.5
0 0 15015.5
0 0 15015.5
745.603 1731.27 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
522.886 1307.31 15015.5
526.15 1322.16 15015.5
524.209 1324 15015.5
501.007 1271.88 15015.5
490.759 1252.27 15015.5
473.68 1214.93 15015.5
0 0 15015.5
0 0 15015.5
460.144 1198.72 15015.5
450.56 1179.9 15015.5
439.622 1157.31 15015.5
447.146 1183.34 15015.5
426.432 1134.5 15015.5
434.607 1162.41 15015.5
416.195 1119.11 15015.5
408.69 1104.83 15015.5
403.999 1098.04 15015.5
403.456 1102.5 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
422.177 1198.84 15015.5
411.821 1175.98 15015.5
413.057 1186.14 15015.5
402.805 1163.23 15015.5
390.031 1132.73 15015.5
389.025 1136.25 15015.5
393.486 1155.86 15015.5
397.56 1174.54 15015.5
374.777 1113.63 15015.5
388.698 1161.7 15015.5
379.094 1139.6 15015.5
388.409 1174.44 15015.5
392.917 1195.06 15015.5
378.093 1156.78 15015.5
379.164 1166.95 15015.5
374.36 1159.04 15015.5
362.249 1128.27 15015.5
372.136 1166.06 15015.5
361.937 1140.97 15015.5
349.119 1107.27 15015.5
356.457 1137.45 15015.5
358.337 1150.49 15015.5
356.032 1150.16 15015.5
354.613 1152.69 15015.5
337.105 1102.62 15015.5
338.087 1112.77 15015.5
361.868 1198.56 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
321.685 1114.5 15015.5
317.81 1108.33 15015.5
331.217 1162.75 15015.5
338.172 1195.07 15015.5
318.497 1133.09 15015.5
326.2 1168.32 15015.5
327.367 1180.45 15015.5
326.368 1184.87 15015.5
320.87 1172.9 15015.5
311.743 1147.4 15015.5
310.782 1151.81 15015.5
304.371 1135.93 15015.5
302.388 1136.46 15015.5
317.264 1200.79 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
0 0 15015.5
465.83 2441.97 15015.5
460.639 2437.86 15015.5
459.694 2456.36 15015.5
453.038 2444.37 15015.5
446.424 2432.37 15015.5
445.039 2448.89 15015.5
443.066 2462.46 15015.5
434.909 2441.57 15015.5
432.21 2451.19 15015.5
427.932 2451.94 15015.5
421.779 2441.84 15015.5
417.685 2443.56 15015.5
411.418 2432.45 15015.5
407.007 2432.18 15015.5
404.068 2440.78 15015.5
399.808 2441.48 15015.5
395.226 2440.2 15015.5
389.385 2431.01 15015.5
388.74 2454.41 15015.5
380.742 2431.37 15015.5
377.11 2435.98 15015.5
373.463 2440.59 15015.5
369.801 2445.19 15015.5
363.02 2429.02 15015.5
359.364 2433.61 15015.5
